empreendimento,ano,mes,ano_mes,produto,id_produto,safra,uf,municipio,cod_ibge,unidade_comercializacao,vlr_custo_variavel_ha,vlr_custo_variavel_unidade,vlr_custo_fixo_ha,vlr_custo_fixo_unidade,vlr_renda_fator_ha,vlr_renda_fator_unidade
AGRICULTURA EMPRESARIAL                 ,2019,1,201901,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,2155.41,21.57,261.09,2.62,327.64,3.28
AGRICULTURA EMPRESARIAL                 ,2019,1,201901,TRIGO                                   ,11191,TODAS                                   ,PR,UBIRATÃ-PR                                        ,4128005,60 kg   ,1862.92,37.26,830.59,16.61,1095.6,21.91
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,MS,CHAPADÃO DO SUL-MS                                ,5002951,15 kg   ,8649.52,72.08,1410.73,11.76,693.73,5.78
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,ARROZ                                   ,11159,TODAS                                   ,RS,PELOTAS-RS                                        ,4314407,50 kg   ,5799.22,36.24,1708.23,10.68,362.42,2.27
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,ARROZ                                   ,11159,TODAS                                   ,RS,SANTO ANTÔNIO DA PATRULHA-RS                      ,4317608,50 kg   ,6053.31,40.36,734.95,4.9,1093.29,7.29
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,CAFE                                    ,7090,TODAS                                   ,BA,ITABELA-BA                                        ,2914653,60 kg   ,16090.19,221.93,1323.36,18.25,340.27,4.69
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,CAFE                                    ,7498,TODAS                                   ,BA,LUÍS EDUARDO MAGALHÃES-BA                         ,2919553,60 kg   ,11338.18,226.76,2563.1,51.26,1182.27,23.65
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,CAFE                                    ,7498,TODAS                                   ,GO,CRISTALINA-GO                                     ,5206206,60 kg   ,13978.26,254.15,3105.81,56.47,1317.89,23.96
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,CAFE                                    ,7498,TODAS                                   ,MG,PATROCÍNIO-MG                                     ,3148103,60 kg   ,11550.03,350.0,2115.66,64.11,1816.93,55.06
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,CAFE                                    ,7498,TODAS                                   ,SP,FRANCA-SP                                         ,3516200,60 kg   ,12212.62,407.09,1047.78,34.93,1488.76,49.63
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,4899.31,106.9,970.5,21.17,998.67,21.79
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,MILHO                                   ,4742,2ª SAFRA                                ,MS,CHAPADÃO DO SUL-MS                                ,5002951,60 kg   ,2110.28,21.11,77.89,0.78,541.08,5.41
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,2159.63,21.59,261.32,2.61,301.84,3.02
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,SOJA                                    ,4744,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2590.94,40.91,377.13,5.95,564.38,8.91
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,TRIGO                                   ,11153,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2250.1,38.57,347.43,5.96,578.82,9.92
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,TRIGO                                   ,11191,TODAS                                   ,PR,UBIRATÃ-PR                                        ,4128005,60 kg   ,1863.68,37.27,830.59,16.61,1008.93,20.18
AGRICULTURA EMPRESARIAL                 ,2019,5,201905,ARROZ                                   ,11159,TODAS                                   ,RS,PELOTAS-RS                                        ,4314407,50 kg   ,5931.62,37.07,1098.37,6.86,362.43,2.27
AGRICULTURA EMPRESARIAL                 ,2019,5,201905,ARROZ                                   ,11159,TODAS                                   ,RS,SANTO ANTÔNIO DA PATRULHA-RS                      ,4317608,50 kg   ,6254.69,41.69,734.97,4.9,1157.98,7.72
AGRICULTURA EMPRESARIAL                 ,2019,5,201905,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,4956.0,108.13,970.5,21.17,998.67,21.79
AGRICULTURA EMPRESARIAL                 ,2019,5,201905,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,2181.68,21.81,261.32,2.61,301.84,3.02
AGRICULTURA EMPRESARIAL                 ,2019,5,201905,SOJA                                    ,4744,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2634.61,41.6,341.2,5.39,653.32,10.32
AGRICULTURA EMPRESARIAL                 ,2019,5,201905,TRIGO                                   ,11153,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2357.99,40.43,288.59,4.95,661.79,11.35
AGRICULTURA EMPRESARIAL                 ,2019,5,201905,TRIGO                                   ,11191,TODAS                                   ,PR,UBIRATÃ-PR                                        ,4128005,60 kg   ,2212.39,44.24,1100.68,22.01,660.86,13.22
AGRICULTURA EMPRESARIAL                 ,2019,7,201907,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,MS,CHAPADÃO DO SUL-MS                                ,5002951,15 kg   ,9045.84,75.38,1640.75,13.67,574.79,4.79
AGRICULTURA EMPRESARIAL                 ,2019,7,201907,ARROZ                                   ,11159,TODAS                                   ,RS,PELOTAS-RS                                        ,4314407,50 kg   ,6072.62,37.96,1862.25,11.64,362.5,2.27
AGRICULTURA EMPRESARIAL                 ,2019,7,201907,ARROZ                                   ,11159,TODAS                                   ,RS,SANTO ANTÔNIO DA PATRULHA-RS                      ,4317608,50 kg   ,5766.03,38.44,1988.6,13.26,458.24,3.05
AGRICULTURA EMPRESARIAL                 ,2019,7,201907,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,5090.02,111.06,1005.89,21.95,998.67,21.79
AGRICULTURA EMPRESARIAL                 ,2019,7,201907,MILHO                                   ,4742,2ª SAFRA                                ,MS,CHAPADÃO DO SUL-MS                                ,5002951,60 kg   ,2214.74,22.15,78.36,0.78,556.78,5.57
AGRICULTURA EMPRESARIAL                 ,2019,7,201907,MILHO                                   ,4742,2ª SAFRA                                ,MT,CAMPO NOVO DO PARECIS-MT                          ,5102637,60 kg   ,2187.12,21.88,485.58,4.86,294.19,2.94
AGRICULTURA EMPRESARIAL                 ,2019,7,201907,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,2205.45,22.06,261.32,2.61,301.84,3.02
AGRICULTURA EMPRESARIAL                 ,2019,7,201907,SOJA                                    ,4744,TODAS                                   ,MT,CAMPO NOVO DO PARECIS-MT                          ,5102637,60 kg   ,2768.45,47.73,589.84,10.17,273.22,4.71
AGRICULTURA EMPRESARIAL                 ,2019,7,201907,SOJA                                    ,4744,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2769.93,43.73,372.25,5.88,619.5,9.78
AGRICULTURA EMPRESARIAL                 ,2019,7,201907,TRIGO                                   ,11153,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2390.38,40.98,304.48,5.22,627.81,10.76
AGRICULTURA EMPRESARIAL                 ,2019,7,201907,TRIGO                                   ,11191,TODAS                                   ,PR,UBIRATÃ-PR                                        ,4128005,60 kg   ,2205.9,44.12,1084.11,21.68,631.65,12.63
AGRICULTURA EMPRESARIAL                 ,2019,9,201909,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,MS,CHAPADÃO DO SUL-MS                                ,5002951,15 kg   ,8971.79,74.77,1654.4,13.79,575.05,4.79
AGRICULTURA EMPRESARIAL                 ,2019,9,201909,ARROZ                                   ,11159,TODAS                                   ,RS,PELOTAS-RS                                        ,4314407,50 kg   ,5987.05,37.42,1911.22,11.95,362.49,2.27
AGRICULTURA EMPRESARIAL                 ,2019,9,201909,ARROZ                                   ,11159,TODAS                                   ,RS,SANTO ANTÔNIO DA PATRULHA-RS                      ,4317608,50 kg   ,6486.66,43.24,1986.54,13.24,461.54,3.08
AGRICULTURA EMPRESARIAL                 ,2019,9,201909,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,5040.98,109.99,1109.13,24.2,1084.7,23.67
AGRICULTURA EMPRESARIAL                 ,2019,9,201909,MILHO                                   ,4742,2ª SAFRA                                ,MS,CHAPADÃO DO SUL-MS                                ,5002951,60 kg   ,2242.52,22.43,78.42,0.78,405.2,4.05
AGRICULTURA EMPRESARIAL                 ,2019,9,201909,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,2205.05,22.05,261.32,2.61,301.84,3.02
AGRICULTURA EMPRESARIAL                 ,2019,9,201909,SOJA                                    ,4744,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2794.39,44.12,363.69,5.74,598.95,9.46
AGRICULTURA EMPRESARIAL                 ,2019,9,201909,TRIGO                                   ,11153,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2433.75,41.72,299.05,5.13,606.87,10.4
AGRICULTURA EMPRESARIAL                 ,2019,9,201909,TRIGO                                   ,11191,TODAS                                   ,PR,UBIRATÃ-PR                                        ,4128005,60 kg   ,2210.8,44.22,1070.75,21.41,975.43,19.51
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,GO,CRISTALINA-GO                                     ,5206206,15 kg   ,6650.58,55.36,695.01,5.52,475.03,3.77
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,MS,CHAPADÃO DO SUL-MS                                ,5002951,15 kg   ,9001.22,75.01,1665.77,13.88,575.05,4.79
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,MT,CAMPO NOVO DO PARECIS-MT                          ,5102637,15 kg   ,10121.97,83.96,711.52,5.78,335.6,2.73
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,ARROZ                                   ,11159,TODAS                                   ,RS,PELOTAS-RS                                        ,4314407,50 kg   ,5989.48,37.43,1944.61,12.15,363.15,2.27
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,ARROZ                                   ,11159,TODAS                                   ,RS,SANTO ANTÔNIO DA PATRULHA-RS                      ,4317608,50 kg   ,5756.44,38.38,2049.91,13.67,462.36,3.08
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,5647.02,123.2,1153.5,25.17,1089.66,23.77
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,MILHO                                   ,4742,2ª SAFRA                                ,GO,CRISTALINA-GO                                     ,5206206,60 kg   ,1628.98,20.36,361.73,4.52,345.52,4.32
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,MILHO                                   ,4742,2ª SAFRA                                ,MS,CHAPADÃO DO SUL-MS                                ,5002951,60 kg   ,2261.4,22.61,78.44,0.78,556.82,5.57
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,MILHO                                   ,4742,2ª SAFRA                                ,MT,CAMPO NOVO DO PARECIS-MT                          ,5102637,60 kg   ,2200.31,22.01,523.46,5.23,315.42,3.15
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,2216.32,22.16,264.69,2.65,346.57,3.47
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,SOJA                                    ,4744,TODAS                                   ,MT,CAMPO NOVO DO PARECIS-MT                          ,5102637,60 kg   ,2770.18,47.76,626.79,10.81,294.07,5.07
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,SOJA                                    ,4744,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2796.5,44.15,357.37,5.64,764.97,12.08
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,TRIGO                                   ,11153,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2490.3,42.69,309.15,5.3,777.81,13.33
AGRICULTURA EMPRESARIAL                 ,2019,11,201911,TRIGO                                   ,11191,TODAS                                   ,PR,UBIRATÃ-PR                                        ,4128005,60 kg   ,2249.74,45.0,1084.27,21.69,978.6,19.57
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,GO,CRISTALINA-GO                                     ,5206206,15 kg   ,6567.15,55.04,687.15,5.45,475.5,3.77
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,MS,CHAPADÃO DO SUL-MS                                ,5002951,15 kg   ,9130.16,76.09,1700.95,14.17,588.89,4.91
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,MT,CAMPO NOVO DO PARECIS-MT                          ,5102637,15 kg   ,10000.72,83.25,705.14,5.73,335.6,2.73
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,ARROZ                                   ,11159,TODAS                                   ,RS,PELOTAS-RS                                        ,4314407,50 kg   ,5639.1,35.24,2070.52,12.94,363.21,2.27
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,ARROZ                                   ,11159,TODAS                                   ,RS,SANTO ANTÔNIO DA PATRULHA-RS                      ,4317608,50 kg   ,5746.52,38.32,2174.15,14.49,464.38,3.1
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,5385.3,117.5,1132.91,24.72,1090.04,23.78
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,MILHO                                   ,4742,2ª SAFRA                                ,GO,CRISTALINA-GO                                     ,5206206,60 kg   ,1642.87,20.53,358.32,4.48,346.67,4.33
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,MILHO                                   ,4742,2ª SAFRA                                ,MS,CHAPADÃO DO SUL-MS                                ,5002951,60 kg   ,2298.02,22.98,79.97,0.8,572.89,5.73
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,MILHO                                   ,4742,2ª SAFRA                                ,MT,CAMPO NOVO DO PARECIS-MT                          ,5102637,60 kg   ,2212.19,22.12,517.2,5.17,315.42,3.15
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,2228.81,22.29,264.69,2.65,346.57,3.47
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,SOJA                                    ,4744,TODAS                                   ,MA,BALSAS-MA                                         ,2101400,60 kg   ,2314.73,44.52,736.44,14.16,215.7,4.15
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,SOJA                                    ,4744,TODAS                                   ,MT,CAMPO NOVO DO PARECIS-MT                          ,5102637,60 kg   ,2766.13,47.69,620.53,10.7,294.07,5.07
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,SOJA                                    ,4744,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2836.21,44.78,403.13,6.37,776.13,12.25
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,TRIGO                                   ,11153,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2537.11,43.49,393.18,6.74,811.8,13.92
AGRICULTURA EMPRESARIAL                 ,2020,1,202001,TRIGO                                   ,11191,TODAS                                   ,PR,UBIRATÃ-PR                                        ,4128005,60 kg   ,2268.21,45.36,1092.97,21.86,979.17,19.58
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,GO,CRISTALINA-GO                                     ,5206206,15 kg   ,6369.28,53.72,690.71,5.48,474.99,3.77
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,MS,CHAPADÃO DO SUL-MS                                ,5002951,15 kg   ,9433.95,78.62,1751.29,14.59,601.33,5.01
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,MT,CAMPO NOVO DO PARECIS-MT                          ,5102637,15 kg   ,10409.56,86.87,720.08,5.85,335.6,2.73
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,AMENDOIM                                ,4674,TODAS                                   ,SP,JABOTICABAL-SP                                    ,3524303,25 kg   ,5077.19,30.77,2162.61,13.11,219.86,1.33
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,AMENDOIM                                ,4674,TODAS                                   ,SP,TUPÃ-SP                                           ,3555000,25 kg   ,5109.3,30.05,1611.65,9.48,211.32,1.24
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,ARROZ                                   ,11159,TODAS                                   ,RS,PELOTAS-RS                                        ,4314407,50 kg   ,5527.72,34.55,2012.88,12.58,363.4,2.27
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,ARROZ                                   ,11159,TODAS                                   ,RS,SANTO ANTÔNIO DA PATRULHA-RS                      ,4317608,50 kg   ,5693.56,37.95,2282.92,15.22,464.58,3.1
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,5452.65,118.97,1083.53,23.64,1041.16,22.72
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,MILHO                                   ,4742,2ª SAFRA                                ,GO,CRISTALINA-GO                                     ,5206206,60 kg   ,1634.04,20.42,359.55,4.49,346.67,4.33
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,MILHO                                   ,4742,2ª SAFRA                                ,MA,BALSAS-MA                                         ,2101400,60 kg   ,1696.21,23.95,344.03,4.86,231.77,3.27
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,MILHO                                   ,4742,2ª SAFRA                                ,MG,UNAÍ-MG                                           ,3170404,60 kg   ,2184.55,21.85,236.33,2.36,503.9,5.04
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,MILHO                                   ,4742,2ª SAFRA                                ,MS,CHAPADÃO DO SUL-MS                                ,5002951,60 kg   ,2439.16,24.39,80.07,0.8,588.33,5.88
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,MILHO                                   ,4742,2ª SAFRA                                ,MT,CAMPO NOVO DO PARECIS-MT                          ,5102637,60 kg   ,2289.88,22.9,531.84,5.32,315.42,3.15
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,2300.94,23.01,264.69,2.65,346.57,3.47
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,SOJA                                    ,4744,TODAS                                   ,MA,BALSAS-MA                                         ,2101400,60 kg   ,2428.63,46.71,797.87,15.34,256.51,4.93
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,SOJA                                    ,4744,TODAS                                   ,MT,CAMPO NOVO DO PARECIS-MT                          ,5102637,60 kg   ,2867.66,49.44,635.16,10.95,294.07,5.07
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,SOJA                                    ,4744,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2805.4,44.3,409.73,6.47,776.37,12.26
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,TRIGO                                   ,11153,TODAS                                   ,PR,PONTA GROSSA-PR                                   ,4119905,60 kg   ,2537.28,43.49,361.85,6.2,792.82,13.59
AGRICULTURA EMPRESARIAL                 ,2020,3,202003,TRIGO                                   ,11191,TODAS                                   ,PR,UBIRATÃ-PR                                        ,4128005,60 kg   ,2269.79,45.4,1014.16,20.28,978.06,19.56
AGRICULTURA EMPRESARIAL                 ,2020,5,202005,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,GO,CRISTALINA-GO                                     ,5206206,15 kg   ,6978.33,58.6,734.68,5.83,492.4,3.91
AGRICULTURA EMPRESARIAL                 ,2020,5,202005,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,MS,CHAPADÃO DO SUL-MS                                ,5002951,15 kg   ,10132.41,84.44,1864.55,15.54,622.32,5.19
AGRICULTURA EMPRESARIAL                 ,2020,5,202005,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,MT,CAMPO NOVO DO PARECIS-MT                          ,5102637,15 kg   ,10252.17,85.71,756.93,6.15,335.82,2.73
AGRICULTURA EMPRESARIAL                 ,2020,5,202005,ARROZ                                   ,4685,TODAS                                   ,MT,SORRISO-MT                                        ,5107925,60 kg   ,2710.33,50.04,1625.97,30.02,381.96,7.05
AGRICULTURA EMPRESARIAL                 ,2020,5,202005,ARROZ                                   ,11159,TODAS                                   ,RS,PELOTAS-RS                                        ,4314407,50 kg   ,5676.16,35.47,2412.88,15.08,363.57,2.27
